,Price,Prediction,error_percentage
2182,2680000,1274755.4708312086,-52.43449735704445
5430,605000,612630.0305308838,1.2611620712204652
2558,580000,669937.5815450918,15.506479576739968
5095,1200000,1688970.5110538276,40.74754258781896
1054,746500,740353.7236746246,-0.8233457904052811
3829,1300000,1422820.2489842104,9.447711460323879
1098,799999,712459.4798433136,-10.942453697652924
3562,772000,803370.9067073917,4.063588951734679
508,1699900,1410334.199859234,-17.03428437794964
4427,599900,574532.462431854,-4.2286276993075536
1943,2650000,1695826.6982033039,-36.006539690441365
2240,1360000,1894224.9591047682,39.281246992997666
2139,1555000,1264484.6048852894,-18.6826620652547
3488,3700000,2329078.681320435,-37.05192753188014
1276,530000,543776.047991956,2.599254338104906
4766,1640000,1644334.3015991773,0.26428668287666457
2577,638000,671552.1066478183,5.2589508852379865
3060,660000,665856.7700802244,0.8873894060946028
467,2736000,2229747.624971791,-18.503376280270793
3433,770000,758240.4251579185,-1.527217511958639
1326,958000,981699.0187805038,2.473801542850081
3979,625000,743346.03167139,18.935365067422406
2890,1000000,948531.5522589195,-5.146844774108054
646,2775000,2763723.119674415,-0.4063740657868518
2461,405000,440577.436459519,8.78455221222692
4099,580000,648854.908052807,11.871535871173617
4048,1990000,1887088.4192065294,-5.171436220777418
3906,1192000,1323591.4901856754,11.039554545778142
3726,1068000,1125700.848890504,5.402701206976039
3444,410000,394417.01669408806,-3.800727635588278
3771,2200000,2008471.711251617,-8.705831306744685
1018,1205000,981134.8035831096,-18.578024598912062
2445,889900,889039.8701062725,-0.09665466835908351
4671,999000,997906.8367958681,-0.10942574615934743
2213,800000,1135370.9141003466,41.92136426254333
2116,1850000,1638468.1846638434,-11.434152180332791
2490,780000,803613.8264536341,3.027413647901804
1270,753900,936910.5674293203,24.275178064639913
1332,540000,575598.6142795536,6.592335977695118
2280,442000,557430.1122222393,26.11541000503151
2170,530000,568562.1364649939,7.275874804715837
229,507500,527038.5171801073,3.849954124159074
3836,905000,862615.7013100528,-4.68334792154113
3397,578500,653148.695761106,12.903836778064992
2934,595000,589486.7606089772,-0.9265948556340886
4380,1635000,1651004.1310430388,0.9788459353540548
403,670000,632854.3753501078,-5.544123082073464
4032,1999900,2194585.3425043984,9.734753862913067
3670,1088000,1124590.7430044182,3.363119761435497
4532,888000,989408.4539463237,11.419870939901319
2541,1471000,1329824.0902706934,-9.597274624697933
336,1050000,1067892.630083853,1.7040600079859918
2055,685800,618231.4441976815,-9.852516156651866
4161,965000,786697.5859647772,-18.476934096914285
4506,1805000,1677558.2158550182,-7.060486656231676
4113,729900,914338.3066123641,25.268982958263344
584,1444600,1249617.354183824,-13.497344996274121
3891,1200000,954108.6531834551,-20.490945568045408
589,1555000,1439865.0324010865,-7.404177980637522
2451,462500,550256.3506287148,18.974346081884274
2356,535000,591482.7929216377,10.55753138722199
594,699000,667867.1563540125,-4.453911823460293
2752,521000,563732.815605582,8.202075931973507
2786,798900,804853.0280629819,0.74515309337613
2317,444900,500702.9023961444,12.542796672543133
5176,938000,825643.168650013,-11.978340229209698
1732,636000,685635.1309835316,7.804265877913773
5250,479000,559443.3157064229,16.794011629733383
1769,912000,1341213.7254600136,47.06290849342255
4009,1040000,1064629.651531503,2.3682357241829877
1061,1630000,2206963.359417769,35.39652511765455
5148,629000,622768.421232644,-0.9907120456845782
1036,716500,672026.0627835911,-6.207109171864466
5054,650000,601151.1338693411,-7.515210173947522
439,512000,526604.8146662542,2.8525028645027763
131,516500,599625.3920574052,16.09397716503489
5450,1080000,1253358.0118680336,16.051667765558662
3144,829000,806742.6262318633,-2.68484605164496
2205,674900,727484.9565825987,7.791518237160874
365,1700000,1761554.4487798547,3.6208499282267463
4656,795000,779122.0006742592,-1.997232619590044
1909,699000,676066.6628149158,-3.280877995004898
4574,685000,622668.0122899121,-9.09956024964787
2057,1552495,916045.9577465744,-40.99523942128159
4628,469000,535494.0075210688,14.177826763554114
2442,600000,545926.5795201565,-9.012236746640585
2950,796000,795703.2366944996,-0.03728182229904303
148,899000,924945.4788845014,2.8860376957176177
4069,1480000,1759124.509347312,18.859764145088644
88,5300000,1366717.5360884105,-74.21287667757716
4684,1660000,1458588.342425895,-12.133232383982232
4203,1050000,906450.0456539087,-13.671424223437262
5268,722000,659607.5911481905,-8.641607874211834
1883,1650000,1575246.688822623,-4.530503707719811
3055,845000,662295.3319041376,-21.621854212528092
923,745000,855046.1400971559,14.77129397277261
3929,465000,510727.53219419124,9.833877891223922
1659,795000,776041.7138415478,-2.384690082824171
5157,1080000,985110.4563313699,-8.786068858206487
2956,400000,690599.6958223272,72.6499239555818
2458,680000,1200547.4785655118,76.55109978904585
1243,925000,1326046.6959165502,43.356399558545974
3505,640000,646793.1820524532,1.061434695695807
4462,889900,848998.1900577961,-4.596225412091687
4590,545000,604251.1160200966,10.87176440735717
5088,1191333,957393.1689297535,-19.63681280299014
5240,2054400,2208203.889947174,7.4865600636280245
966,655000,1028604.4428116215,57.0388462307819
1577,1298000,1203073.4219582188,-7.313295688889153
3961,531000,643133.9934018571,21.117512881705665
2603,619900,581829.9098618525,-6.141327655774717
1673,1898000,1907003.5024971385,0.47436788709897026
4933,940000,1064578.7436636782,13.253057836561508
3939,2460000,1956568.4093502578,-20.46469880690009
85,1035000,966695.4828207128,-6.599470258868324
4551,3558000,3845116.0810805806,8.069591935935373
250,635000,600031.1848099701,-5.506900029925971
3381,419000,457863.46963775257,9.27529108299584
2839,1290000,1358474.0951444348,5.308069391041459
3576,505000,503095.936503939,-0.3770422764477265
2779,635000,633550.0136606514,-0.22834430540922854
3465,1410000,1792474.513691907,27.12585203488703
2589,600000,649343.3376866832,8.223889614447193
1143,1562000,1138727.775026736,-27.09809378830115
1787,1774900,1501628.8453533847,-15.396425412508608
4756,1298000,1371441.951480865,5.6580856302669496
4342,1545000,1318367.2445686648,-14.668786759309722
1537,1432000,1339374.2917308926,-6.4682757171164385
3596,480000,470814.9780148006,-1.9135462469165456
4271,759000,705269.6478046608,-7.079097785947189
5365,938000,953999.0340738046,1.7056539524311964
2904,482800,563618.1277173766,16.739463073193157
3273,1225000,1617735.790828357,32.060064557416894
2623,1099900,849832.4161963332,-22.73548357156712
722,1940000,1178286.0299121484,-39.26360670555936
4877,1475000,1300880.1682477915,-11.804734356081934
4965,703000,511650.87639696116,-27.218936501143503
1599,1230000,1439761.4498758232,17.053776412668554
1388,1320000,1273628.5379143963,-3.512989551939677
662,3450000,2373100.094175581,-31.214490023896207
801,1199888,1307988.3577531101,9.009204005132988
3250,1799900,1094667.1428883288,-39.181779938422764
5052,645000,608976.692416705,-5.585008927642642
5094,1680000,1700754.2890129746,1.2353743460103923
593,1899900,2845919.871574281,49.7931402481331
1035,665900,812221.8514879696,21.973547302593428
4251,569900,552127.7137264361,-3.1184920641452645
1678,444800,481917.72220805153,8.344811647493602
2390,461999,539755.1699766769,16.830376251177366
5029,505000,592279.2829054612,17.2830263179131
5015,445000,566937.07808117,27.4015905800382
5145,1235000,1453354.936004256,17.680561619777805
38,579900,1134255.3412551074,95.59498900760605
15,737500,661162.6673968337,-10.350824759751369
5406,1225714,1211711.029730467,-1.142433738174901
4457,520000,499457.7064657286,-3.9504410642829653
568,660000,630534.354666329,-4.464491717222881
1130,583001,536111.7534604971,-8.042738612712991
554,1339047,1404558.7751743707,4.892417904253602
3251,653000,587593.7982005035,-10.016263675267464
3053,967500,1380216.7539200885,42.658062420680984
546,1428000,1637288.726130987,14.656073258472482
5271,1900000,1610523.051139328,-15.235628887403793
1367,1635000,1674614.3096472076,2.4228935564041354
2785,1738000,1899945.960330876,9.317949386126354
4732,2450000,2459666.70780552,0.3945595022661193
3338,2739888,2975007.6433000807,8.581359650470409
3406,490000,522083.1277718525,6.547577096296424
4419,1475000,1433519.1496417257,-2.8122610412389353
2370,680000,672439.5493239772,-1.1118309817680583
2615,686000,699012.0318367262,1.896797643837644
2465,650000,757833.0622734753,16.589701888226976
5354,1299900,1332371.8611225085,2.4980276269334976
5277,13988000,12162318.61271061,-13.051768567982485
3884,980000,1015734.8616337851,3.646414452427048
4266,891500,774235.3650984964,-13.153632630566861
5092,1352000,1447133.3081332364,7.03648728796127
534,941000,1169831.03929394,24.31785752326673
4413,660000,758781.9919642007,14.966968479424356
366,679900,628524.2588005096,-7.556367289232297
5362,2099000,1959590.3010534372,-6.641719816415572
3420,818800,911130.2736423647,11.276291358373799
4178,544000,500171.2580304184,-8.056754038526025
944,801000,786483.2205819145,-1.8123320122453768
4918,619900,779087.6400722987,25.679567683868154
79,580000,575414.9811837291,-0.7905204855639423
2014,910000,750295.6143983116,-17.549932483702023
615,1700000,1349143.6282042065,-20.638610105634914
3423,490000,799088.0001872437,63.07918371168238
5047,806000,958302.9731313664,18.89615051257648
5244,940000,976369.7147791345,3.869118593524946
4476,1980000,1885068.5902158837,-4.7945156456624405
3848,1180000,1127359.87100619,-4.46102788083135
4793,785500,693814.241125272,-11.672279933128962
2453,998900,893912.2557720768,-10.510335792163703
3808,630000,675929.0479964582,7.290325078802897
4691,605000,676214.2182010566,11.770945157199437
50,609900,612108.5655874972,0.3621192961956386
725,795000,804662.3905089992,1.2153950325785199
1869,815000,768534.6157308316,-5.701274143456241
2673,775000,924738.0753960658,19.32104198658914
976,974000,976759.6712396969,0.2833338028436251
412,685000,725581.5920506429,5.92432000739313
1983,540000,625127.9966055932,15.764443815850601
517,710000,810360.6344294846,14.135300623871071
929,2950000,2759941.8422030644,-6.442649416845277
4336,2630000,2419976.8561943006,-7.98567086713686
3413,1325000,1131395.2031560957,-14.611682780672023
2959,950000,959420.39672263,0.9916207076452648
4372,722000,687474.3586326835,-4.781944787716964
3344,415000,473860.3202342657,14.183209695003784
5050,1100000,772248.6439807547,-29.795577819931395
3307,850000,805475.0634929817,-5.238227824355092
1232,557500,526955.0616568754,-5.47891270728692
3648,2981111,2192255.3379706396,-26.46180105435056
3010,2180000,2135827.2972284397,-2.0262707693376276
